abbr,stop_uid
"145","D13"
"148","301"
"168","A09"
"179","F01"
"205","D01"
"207","A02"
"241","201"
"242","101"
"34H","726"
"3AB","619"
"8AV","L01"
"95S","R45"
"962","Q05"
"BBC","D40"
"BBR","640"
"BPK","D03"
"BRD","M23"
"CHU","F27"
"CRS","G22"
"CTL","G08"
"DIT","R01"
"DYR","501"
"EPY","J27"
"EUC","A55"
"FAR","H11"
"FLA","247"
"GCS","901"
"LEF","A65"
"MET","M01"
"MST","701"
"NLT","257"
"P-A","G05"
"PEL","601"
"RPY","L29"
"SFT","142"
"STG","S31"
"STL","D43"
"TNV","S09"
"TSS","902"
"UTI","250"
"WDL","401"
"WHL","R27"
"WTC","E01"
"WYC","M08"
