stop_id,direction_id,direction_name
101,0,"Manhattan"
101,1,"Van Cortlandt Park - 242 St"
103,0,"Manhattan"
103,1,"Van Cortlandt Park - 242 St"
104,0,"Manhattan"
104,1,"Van Cortlandt Park - 242 St"
106,0,"Manhattan"
106,1,"Van Cortlandt Park - 242 St"
107,0,"Downtown"
107,1,"The Bronx"
108,0,"Downtown"
108,1,"Uptown and The Bronx"
109,0,"Downtown"
109,1,"Uptown and The Bronx"
110,0,"Downtown"
110,1,"Uptown and The Bronx"
111,0,"Downtown"
111,1,"Uptown and The Bronx"
112,0,"Downtown"
112,1,"Uptown and The Bronx"
113,0,"Downtown"
113,1,"Uptown and The Bronx"
114,0,"Downtown"
114,1,"Uptown and The Bronx"
115,0,"Downtown"
115,1,"Uptown and The Bronx"
116,0,"Downtown"
116,1,"Uptown and The Bronx"
117,0,"Downtown"
117,1,"Uptown and The Bronx"
118,0,"Downtown"
118,1,"Uptown and The Bronx"
119,0,"Downtown"
119,1,"Uptown and The Bronx"
120,0,"Downtown and Brooklyn"
120,1,"Uptown and The Bronx"
121,0,"Downtown and Brooklyn"
121,1,"Uptown and The Bronx"
122,0,"Downtown and Brooklyn"
122,1,"Uptown and The Bronx"
123,0,"Downtown and Brooklyn"
123,1,"Uptown and The Bronx"
124,0,"Downtown and Brooklyn"
124,1,"Uptown and The Bronx"
125,0,"Downtown and Brooklyn"
125,1,"Uptown and The Bronx"
126,0,"Downtown and Brooklyn"
126,1,"Uptown and The Bronx"
127,0,"Downtown and Brooklyn"
127,1,"Uptown and The Bronx"
128,0,"Downtown and Brooklyn"
128,1,"Uptown and The Bronx"
129,0,"Downtown and Brooklyn"
129,1,"Uptown and The Bronx"
130,0,"Downtown and Brooklyn"
130,1,"Uptown and The Bronx"
131,0,"Downtown and Brooklyn"
131,1,"Uptown and The Bronx"
132,0,"Downtown and Brooklyn"
132,1,"Uptown and The Bronx"
133,0,"Downtown and Brooklyn"
133,1,"Uptown and The Bronx"
134,0,"Downtown and Brooklyn"
134,1,"Uptown and The Bronx"
135,0,"Downtown and Brooklyn"
135,1,"Uptown and The Bronx"
136,0,"Downtown and Brooklyn"
136,1,"Uptown and The Bronx"
137,0,"Downtown and Brooklyn"
137,1,"Uptown and The Bronx"
138,0,"Downtown (South Ferry)"
138,1,"Uptown and The Bronx"
139,0,"Downtown (South Ferry)"
139,1,"Uptown and The Bronx"
140,0,"Downtown (South Ferry)"
140,1,"Uptown and The Bronx"
142,0,"Downtown (South Ferry)"
142,1,"Uptown and The Bronx"
201,0,"Manhattan"
201,1,"Wakefield - 241 St"
204,0,"Manhattan"
204,1,"Wakefield - 241 St"
205,0,"Manhattan"
205,1,"Wakefield - 241 St"
206,0,"Manhattan"
206,1,"Wakefield - 241 St"
207,0,"Manhattan"
207,1,"Wakefield - 241 St"
208,0,"Manhattan"
208,1,"Wakefield - 241 St"
209,0,"Manhattan"
209,1,"Wakefield - 241 St"
210,0,"Manhattan"
210,1,"Wakefield - 241 St"
211,0,"Manhattan"
211,1,"Wakefield - 241 St"
212,0,"Manhattan"
212,1,"Wakefield - 241 St"
213,0,"Manhattan"
213,1,"Eastchester - Dyre Av and Wakefield - 241 St"
214,0,"Manhattan"
214,1,"Eastchester - Dyre Av and Wakefield - 241 St"
215,0,"Manhattan"
215,1,"Eastchester - Dyre Av and Wakefield - 241 St"
216,0,"Manhattan"
216,1,"Eastchester - Dyre Av and Wakefield - 241 St"
217,0,"Manhattan"
217,1,"Eastchester - Dyre Av and Wakefield - 241 St"
218,0,"Manhattan"
218,1,"Eastchester - Dyre Av and Wakefield - 241 St"
219,0,"Manhattan"
219,1,"Eastchester - Dyre Av and Wakefield - 241 St"
220,0,"Manhattan"
220,1,"Eastchester - Dyre Av and Wakefield - 241 St"
221,0,"Manhattan"
221,1,"Eastchester - Dyre Av and Wakefield - 241 St"
222,0,"Manhattan"
222,1,"Eastchester - Dyre Av and Wakefield - 241 St"
224,0,"Downtown and Brooklyn"
224,1,"Uptown and The Bronx"
225,0,"Downtown and Brooklyn"
225,1,"Uptown and The Bronx"
226,0,"Downtown and Brooklyn"
226,1,"Uptown and The Bronx"
227,0,"Downtown and Brooklyn"
227,1,"Uptown and The Bronx"
228,0,"Downtown and Brooklyn"
228,1,"Uptown and The Bronx"
229,0,"Downtown and Brooklyn"
229,1,"Uptown and The Bronx"
230,0,"Brooklyn"
230,1,"Uptown and The Bronx"
231,0,"New Lots Av and Flatbush Av"
231,1,"Manhattan"
232,0,"New Lots Av and Flatbush Av"
232,1,"Manhattan"
233,0,"New Lots Av and Flatbush Av"
233,1,"Manhattan"
234,0,"New Lots Av and Flatbush Av"
234,1,"Manhattan"
235,0,"New Lots Av and Flatbush Av"
235,1,"Manhattan"
236,0,"New Lots Av and Flatbush Av"
236,1,"Manhattan"
237,0,"New Lots Av and Flatbush Av"
237,1,"Manhattan"
238,0,"New Lots Av and Flatbush Av"
238,1,"Manhattan"
239,0,"New Lots Av and Flatbush Av"
239,1,"Manhattan"
241,0,"Flatbush Av - Brooklyn College"
241,1,"Manhattan"
242,0,"Flatbush Av - Brooklyn College"
242,1,"Manhattan"
243,0,"Flatbush Av - Brooklyn College"
243,1,"Manhattan"
244,0,"Flatbush Av - Brooklyn College"
244,1,"Manhattan"
245,0,"Flatbush Av - Brooklyn College"
245,1,"Manhattan"
246,0,"Flatbush Av - Brooklyn College"
246,1,"Manhattan"
247,0,"Flatbush Av - Brooklyn College"
247,1,"Manhattan"
248,0,"Flatbush Av - Brooklyn College"
248,1,"Manhattan"
249,0,"Flatbush Av - Brooklyn College"
249,1,"Manhattan"
250,0,"Flatbush Av - Brooklyn College"
250,1,"Manhattan"
251,0,"Flatbush Av - Brooklyn College"
251,1,"Manhattan"
252,0,"Flatbush Av - Brooklyn College"
252,1,"Manhattan"
253,0,"Flatbush Av - Brooklyn College"
253,1,"Manhattan"
254,0,"Flatbush Av - Brooklyn College"
254,1,"Manhattan"
255,0,"Flatbush Av - Brooklyn College"
255,1,"Manhattan"
256,0,"Flatbush Av - Brooklyn College"
256,1,"Manhattan"
257,0,"Flatbush Av - Brooklyn College"
257,1,"Manhattan"
