stop_id,north_direction_name,south_direction_name
101,Van Cortlandt Park - 242 St,Manhattan
103,Van Cortlandt Park - 242 St,Manhattan
104,Van Cortlandt Park - 242 St,Manhattan
106,Van Cortlandt Park - 242 St,Manhattan
107,The Bronx,Downtown
108,Uptown and The Bronx,Downtown
109,Uptown and The Bronx,Downtown
110,Uptown and The Bronx,Downtown
111,Uptown and The Bronx,Downtown
112,Uptown and The Bronx,Downtown
113,Uptown and The Bronx,Downtown
114,Uptown and The Bronx,Downtown
115,Uptown and The Bronx,Downtown
116,Uptown and The Bronx,Downtown
117,Uptown and The Bronx,Downtown
118,Uptown and The Bronx,Downtown
119,Uptown and The Bronx,Downtown
120,Uptown and The Bronx,Downtown and Brooklyn
121,Uptown and The Bronx,Downtown and Brooklyn
122,Uptown and The Bronx,Downtown and Brooklyn
123,Uptown and The Bronx,Downtown and Brooklyn
124,Uptown and The Bronx,Downtown and Brooklyn
125,Uptown and The Bronx,Downtown and Brooklyn
126,Uptown and The Bronx,Downtown and Brooklyn
127,Uptown and The Bronx,Downtown and Brooklyn
128,Uptown and The Bronx,Downtown and Brooklyn
129,Uptown and The Bronx,Downtown and Brooklyn
130,Uptown and The Bronx,Downtown and Brooklyn
131,Uptown and The Bronx,Downtown and Brooklyn
132,Uptown and The Bronx,Downtown and Brooklyn
133,Uptown and The Bronx,Downtown and Brooklyn
134,Uptown and The Bronx,Downtown and Brooklyn
135,Uptown and The Bronx,Downtown and Brooklyn
136,Uptown and The Bronx,Downtown and Brooklyn
137,Uptown and The Bronx,Downtown and Brooklyn
138,Uptown and The Bronx,Downtown (South Ferry)
139,Uptown and The Bronx,Downtown (South Ferry)
140,Uptown and The Bronx,Downtown (South Ferry)
142,Uptown and The Bronx,Downtown (South Ferry)
201,Wakefield - 241 St,Manhattan
204,Wakefield - 241 St,Manhattan
205,Wakefield - 241 St,Manhattan
206,Wakefield - 241 St,Manhattan
207,Wakefield - 241 St,Manhattan
208,Wakefield - 241 St,Manhattan
209,Wakefield - 241 St,Manhattan
210,Wakefield - 241 St,Manhattan
211,Wakefield - 241 St,Manhattan
212,Wakefield - 241 St,Manhattan
213,Eastchester - Dyre Av and Wakefield - 241 St,Manhattan
214,Eastchester - Dyre Av and Wakefield - 241 St,Manhattan
215,Eastchester - Dyre Av and Wakefield - 241 St,Manhattan
216,Eastchester - Dyre Av and Wakefield - 241 St,Manhattan
217,Eastchester - Dyre Av and Wakefield - 241 St,Manhattan
218,Eastchester - Dyre Av and Wakefield - 241 St,Manhattan
219,Eastchester - Dyre Av and Wakefield - 241 St,Manhattan
220,Eastchester - Dyre Av and Wakefield - 241 St,Manhattan
221,Eastchester - Dyre Av and Wakefield - 241 St,Manhattan
222,Eastchester - Dyre Av and Wakefield - 241 St,Manhattan
224,Uptown and The Bronx,Downtown and Brooklyn
225,Uptown and The Bronx,Downtown and Brooklyn
226,Uptown and The Bronx,Downtown and Brooklyn
227,Uptown and The Bronx,Downtown and Brooklyn
228,Uptown and The Bronx,Downtown and Brooklyn
229,Uptown and The Bronx,Downtown and Brooklyn
230,Uptown and The Bronx,Brooklyn
231,Manhattan,New Lots Av and Flatbush Av
232,Manhattan,New Lots Av and Flatbush Av
233,Manhattan,New Lots Av and Flatbush Av
234,Manhattan,New Lots Av and Flatbush Av
235,Manhattan,New Lots Av and Flatbush Av
236,Manhattan,New Lots Av and Flatbush Av
237,Manhattan,New Lots Av and Flatbush Av
238,Manhattan,New Lots Av and Flatbush Av
239,Manhattan,New Lots Av and Flatbush Av
241,Manhattan,Flatbush Av - Brooklyn College
242,Manhattan,Flatbush Av - Brooklyn College
243,Manhattan,Flatbush Av - Brooklyn College
244,Manhattan,Flatbush Av - Brooklyn College
245,Manhattan,Flatbush Av - Brooklyn College
246,Manhattan,Flatbush Av - Brooklyn College
247,Manhattan,Flatbush Av - Brooklyn College
248,Manhattan,Flatbush Av - Brooklyn College
249,Manhattan,Flatbush Av - Brooklyn College
250,Manhattan,Flatbush Av - Brooklyn College
251,Manhattan,Flatbush Av - Brooklyn College
252,Manhattan,Flatbush Av - Brooklyn College
253,Manhattan,Flatbush Av - Brooklyn College
254,Manhattan,Flatbush Av - Brooklyn College
255,Manhattan,Flatbush Av - Brooklyn College
256,Manhattan,Flatbush Av - Brooklyn College
257,Manhattan,Flatbush Av - Brooklyn College
301,Harlem - 148 St,Downtown and Brooklyn
302,Harlem - 148 St,Downtown and Brooklyn
401,Woodlawn,Manhattan
402,Woodlawn,Manhattan
405,Woodlawn,Manhattan
406,Woodlawn,Manhattan
407,Woodlawn,Manhattan
408,Woodlawn,Manhattan
409,Woodlawn,Manhattan
410,Woodlawn,Manhattan
411,Woodlawn,Manhattan
412,Woodlawn,Manhattan
413,Woodlawn,Manhattan
414,Woodlawn,Manhattan
415,Woodlawn,Manhattan
416,Woodlawn and Eastchester - Dyre Av,Manhattan
418,Uptown and The Bronx,Downtown and Brooklyn
419,Uptown and The Bronx,Downtown and Brooklyn
420,Uptown and The Bronx,Brooklyn
423,Manhattan,New Lots Av and Flatbush Av
501,Eastchester - Dyre Av,Manhattan
502,Eastchester - Dyre Av,Manhattan
503,Eastchester - Dyre Av,Manhattan
504,Eastchester - Dyre Av,Manhattan
505,Eastchester - Dyre Av,Manhattan
601,Pelham Bay Park,Manhattan
602,Pelham Bay Park,Manhattan
603,Pelham Bay Park,Manhattan
604,Pelham Bay Park,Manhattan
606,Pelham Bay Park,Manhattan
607,Pelham Bay Park,Manhattan
608,Pelham Bay Park,Manhattan
609,Pelham Bay Park,Manhattan
610,Pelham Bay Park,Manhattan
611,Pelham Bay Park,Manhattan
612,Pelham Bay Park,Manhattan
613,Pelham Bay Park,Manhattan
614,Pelham Bay Park,Manhattan
615,Pelham Bay Park,Manhattan
616,Pelham Bay Park,Manhattan
617,Pelham Bay Park,Manhattan
618,Pelham Bay Park,Manhattan
619,Pelham Bay Park,Manhattan
621,The Bronx,Downtown and Brooklyn
622,Uptown and The Bronx,Downtown and Brooklyn
623,Uptown and The Bronx,Downtown and Brooklyn
624,Uptown and The Bronx,Downtown and Brooklyn
625,Uptown and The Bronx,Downtown and Brooklyn
626,Uptown and The Bronx,Downtown and Brooklyn
627,Uptown and The Bronx,Downtown and Brooklyn
628,Uptown and The Bronx,Downtown and Brooklyn
629,Uptown and The Bronx,Downtown and Brooklyn
630,Uptown and The Bronx,Downtown and Brooklyn
631,Uptown and The Bronx,Downtown and Brooklyn
632,Uptown and The Bronx,Downtown and Brooklyn
633,Uptown and The Bronx,Downtown and Brooklyn
