feed_id,url,parser_module,parser_function
ServiceStatus,http://web.mta.info/status/ServiceStatusSubway.xml,servicestatusxmlupdater,update
L,http://datamine.mta.info/mta_esi.php?key=18f496b0ab3ae1fbb1aa471e63377ce4&feed_id=2,gtfsupdater,update
123456,http://datamine.mta.info/mta_esi.php?key=18f496b0ab3ae1fbb1aa471e63377ce4&feed_id=1,gtfsupdater,update
ACE,http://datamine.mta.info/mta_esi.php?key=18f496b0ab3ae1fbb1aa471e63377ce4&feed_id=26,gtfsupdater,update
BDFM,http://datamine.mta.info/mta_esi.php?key=18f496b0ab3ae1fbb1aa471e63377ce4&feed_id=21,gtfsupdater,update
G,http://datamine.mta.info/mta_esi.php?key=18f496b0ab3ae1fbb1aa471e63377ce4&feed_id=31,gtfsupdater,update
NQRW,http://datamine.mta.info/mta_esi.php?key=18f496b0ab3ae1fbb1aa471e63377ce4&feed_id=16,gtfsupdater,update
JZ,http://datamine.mta.info/mta_esi.php?key=18f496b0ab3ae1fbb1aa471e63377ce4&feed_id=36,gtfsupdater,update
7,http://datamine.mta.info/mta_esi.php?key=18f496b0ab3ae1fbb1aa471e63377ce4&feed_id=51,gtfsupdater,update
SIR,http://datamine.mta.info/mta_esi.php?key=18f496b0ab3ae1fbb1aa471e63377ce4&feed_id=11,gtfsupdater,update

